name,cost,food_pref,image
Newari Veg Khaja Set,350,Veg,newari.jpg
Puri Tarkari Set,250,Veg,puritarkari.webp
Aalu Nimki Set,180,Veg,alunimki.jpg
Vegetarian Thali,300,Veg,vegthali.jpeg
Chana Masala Thali,280,Veg,chanamasala.jpg
Vegetable Pakora Set,150,Veg,vegpakora.webp
Momo Veg Set,250,Veg,vegmomo.jpg
Vegetable Fried Rice Set,220,Veg,vegfryrice.jpg
Chole Bhature Set,290,Veg,cholebhature.jpg
Veg Roll Set,200,Veg,vegroll.jpg
Rice and Chicken Curry Set,400,Non-Veg,chickencurry.webp
Chatpate Sukuti Set,350,Non-Veg,sukutichatpate.jpg
Mutton Sekuwa Set,500,Non-Veg,muttonsekuwa.png
Chicken Momo Set,300,Non-Veg,chickenmomo.jpg
Pork Curry Set,450,Non-Veg,porkcurry.jpg
Chicken Fried Rice Set,320,Non-Veg,chickenfryrice.jpg
Fish Curry Set,380,Non-Veg,fishcurry.jpg
Egg Curry Set,230,Non-Veg,eggcurry.jpeg
