id,name,image
act1,Hiking,act1.jpg
act2,Cable Car ,act2.jpg
act3,Meditation,act3.jpg
act4,Jungle Safari,act4.jpg
act5,Trekking,act5.jpg
act6,Paragliding,act6.jpg
act7,Boating,act7.jpg
act8,Exploring,default.png
act9,Shopping,default.png
act10,Relaxing,default.png
act11,Learning,default.png
act12,Worship,default.png
act13,Bird Watching,default.png
act14, Photography,default.png
act15,Climbing,default.png
act16,Picnicking,default.png
act17,Cultural Tours,default.png
act18,Pilgrimage,default.png
act19,Circumambulating,default.png
act20, Religious Visits,default.png
act21,Fishing,default.png
act22,Homestay,default.png
act23,Elephant Ride,default.png
act24,Historical Tours,default.png
act25,Sightseeing,default.png
act26,Scenic Views,default.png
act27,Camping,default.png
act28,Hot Springs,default.png
act29,Wildlife Viewing,default.png
act30,Tea Garden Visits,default.png
act31,Sunrise Views,default.png
