id,name,location,rating,image,type,latlong,required_time,activities,description
1,Swayambhunath,2 km west of central Kathmandu,4.1,p1.png,"Historic, Religious, Cultural","27.715201781594736, 85.29048874591601",3,"Climbing, Worship, Circumambulating","Swayambhunath Stupa (Monkey Temple) is a UNESCO World Heritage Site in Kathmandu, Nepal, offering panoramic city views.  This ancient Buddhist and Hindu pilgrimage site features a white dome, gilded spire, and Buddha's watchful eyes.  Numerous shrines and temples surround the main stupa, some dating back to the Licchavi period. Visitors can climb the 365 steps to the summit, encountering prayer wheels and statues along the way."
2,Pashupatinath Temple,5 km east of central Kathmandu,4.2,p2.jpg,"Religious, Cultural","27.724492642271755, 85.3537701257193",2,Worship,"Pashupatinath Temple, a major Hindu pilgrimage site in Nepal, is dedicated to Lord Shiva and located on the banks of the Bagmati River.  Its pagoda-style architecture features intricate wood carvings, silver doors, and a gilded roof.  The complex includes numerous temples, shrines, and cremation ghats central to Hindu beliefs about liberation.  It attracts large crowds, especially during Maha Shivaratri."
3,Boudhanath Stupa,6 km northeast of central Kathmandu,4.2,p3.jpg,"Religious, Cultural","27.721668226097016, 85.36200546729265",2,"Circumambulating, Worship, Exploring","Boudhanath Stupa, a massive spherical structure in Kathmandu, is one of Nepal's holiest Buddhist sites and a prominent center of Tibetan culture.  The stupa features a large mandala base, surrounded by monasteries, shops, and a vibrant community of Tibetan monks. Visitors can participate in the meditative practice of circumambulating the stupa, experiencing the serene atmosphere and observing traditional rituals.  It's an ideal destination for those interested in Tibetan Buddhism and cultural immersion."
4,Kathmandu Durbar Square,"In central Kathmandu, near Basantapur",4.5,p4.jpeg,"Historic, Cultural","27.704397161442525, 85.30740935195023",3,"Exploring, Shopping, Relaxing","Kathmandu Durbar Square is a historic square in Kathmandu, Nepal, showcasing Malla-era palaces, courtyards, and temples.  Key attractions include the Hanuman Dhoka Palace (now a museum of Nepali royal history) and the Kumari Ghar, residence of the living goddess Kumari.  The square is filled with intricately carved temples and a vibrant atmosphere created by local artisans and vendors. It's an essential destination for experiencing Nepali culture and history. "
5,Thamel,2 km northwest of central Kathmandu,4.5,p5.jpeg,"Cultural, Commercial","27.715711449750245, 85.31222816944015",4,"Shopping, Exploring, Relaxing","Thamel, Kathmandu's tourist hub, is a vibrant neighborhood renowned for its shopping, dining, and nightlife.  This bustling area offers a mix of local and international experiences, from trekking agencies and gear shops to diverse restaurants, bars, and cultural performances.  It's a popular starting point for Himalayan treks and caters to a wide range of travelers, from backpackers to those seeking comfortable hotels. Thamel provides a unique blend of traditional Nepali culture and modern tourist amenities."
6,Garden of Dreams,1.5 km northeast of central Kathmandu,3.1,p6.jpeg,"Natural, Cultural","27.714268546287556, 85.31452555379893",2,Relaxing,"The Garden of Dreams is a peaceful neo-classical garden in central Kathmandu, offering a tranquil escape from the city.  Built in the early 1920s, it features pavilions, fountains, and lush greenery, ideal for relaxation.  European-influenced architecture and meticulously maintained landscaping add to its charm.  Visitors can also enjoy an on-site library, amphitheater, and cafe."
7,Narayanhiti Palace Museum,1 km north of central Kathmandu,4.3,p7.jpg,"Historic, Cultural","27.714983241256743, 85.318084096128",2,Exploring,"Narayanhiti Palace Museum, a former royal residence in Kathmandu, showcases Nepal's monarchy until its 2008 abolishment.  This museum offers visitors a look into royal life through its opulent rooms, including the Throne Room and Banquet Hall, and displays artifacts like gifts and personal belongings.  Its architecture blends traditional Nepali and modern styles, and the surrounding gardens contribute to a stately atmosphere.  It's a key destination for understanding Nepal's history and culture."
8,Patan Durbar Square,4 km southeast of central Kathmandu,4.5,p8.jpg,"Historic, Cultural","27.67352315456653, 85.32525671729124",3,"Exploring, Worship","Patan Durbar Square is a UNESCO World Heritage Site in Patan, Nepal, showcasing exquisite Newar architecture from the Malla period.  This ancient royal palace complex features numerous intricately carved temples, shrines, and statues, including the Krishna Mandir and the golden Hiranya Varna Mahavihar.  The Patan Museum, located within the square, offers a glimpse into the region's artistic heritage.  Visitors can experience the vibrant cultural atmosphere and observe local artisans."
9,Bhaktapur Durbar Square,12 km east of central Kathmandu,4.5,p9.jpg,"Historic, Cultural","27.67222200286977, 85.4283380114687",3,"Exploring, Shopping, Learning","Bhaktapur Durbar Square is a UNESCO World Heritage Site in Bhaktapur, Nepal, showcasing preserved Malla-era architecture.  The complex features ornate palaces like the 55-Window Palace, impressive temples such as the Vatsala and Nyatapola Temples, and vibrant courtyards.  Visitors can experience local culture through markets, workshops, and festivals held within the square.  This site offers a rich glimpse into Nepal's history and artistic heritage."
10,Kopan Monastery,7 km northeast of central Kathmandu,4.0,p10.jpg,"Religious, Cultural","27.742896764086307, 85.3649242249643",2,Meditation,"Kopan Monastery is a Tibetan Buddhist monastery near Kathmandu, Nepal, offering meditation courses and retreats.  Affiliated with the FPMT, it provides a tranquil environment with prayer halls, stupas, and gardens overlooking the Kathmandu Valley.  Visitors can participate in guided meditations, attend lama teachings, and experience authentic Buddhist traditions.  It's ideal for those seeking spiritual exploration and peaceful reflection. "
